Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
 World,Comoros,2018,Export,1906,40.83,387212.03,0
 World,Cape Verde,2018,Export,2969,63.6,797069.15,0
 World,Costa Rica,2018,Export,3984,85.35,13702740.73,0.07
 World,Cuba,2018,Export,3493,74.83,6110357.8,0.03
 World,Curaçao,2018,Export,2765,59.23,2048158.97,0.01
 World,Christmas Island,2018,Export,587,12.57,31873.58,0
 World,Cayman Islands,2018,Export,2378,50.94,5013236.66,0.03
 World,Cyprus,2018,Export,4298,92.07,14209276.33,0.08
 World,Czech Republic,2018,Export,4521,96.85,168852018.8,0.91
 World,Germany,2018,Export,4586,98.24,1183472388,6.39
 World,Djibouti,2018,Export,3213,68.83,5804054.51,0.03
 World,Dominica,2018,Export,1932,41.39,378026.25,0
 World,Denmark,2018,Export,4482,96.02,102796962.8,0.55
 World,Dominican Republic,2018,Export,4045,86.65,17997876.89,0.1
 World,Algeria,2018,Export,3887,83.27,49012564.32,0.26
 World,East Asia & Pacific,2018,Export,,,4982096830,26.89
 World,Europe & Central Asia,2018,Export,,,7029012988,37.94
 World,Ecuador,2018,Export,4005,85.8,21098403.8,0.11
 World,"Egypt, Arab Rep.",2018,Export,4278,91.65,73491368.97,0.4
 World,Eritrea,2018,Export,1823,39.05,413855.21,0
 World,Western Sahara,2018,Export,61,1.31,10874.95,0
 World,Spain,2018,Export,4562,97.73,347010191.1,1.87
 World,Estonia,2018,Export,4352,93.23,20800007.05,0.11
 World,Ethiopia(excludes Eritrea),2018,Export,3612,77.38,9650611.31,0.05
 World,Finland,2018,Export,4433,94.97,75830485.66,0.41
 World,Fiji,2018,Export,3479,74.53,2476911.06,0.01
 World,Falkland Island,2018,Export,1114,23.86,130606.45,0
 World,France,2018,Export,4583,98.18,645644053.3,3.48
 World,Free Zones,2018,Export,2997,64.2,4467374.15,0.02
 World,Faeroe Islands,2018,Export,2996,64.18,1118545.59,0.01
 World,"Micronesia, Fed. Sts.",2018,Export,1262,27.04,134154.68,0
 World,Gabon,2018,Export,3110,66.62,2131823.56,0.01
 World,United Kingdom,2018,Export,4580,98.11,650900930.8,3.51
 World,Georgia,2018,Export,3928,84.15,8982929.71,0.05
 World,Ghana,2018,Export,3851,82.5,14151908.27,0.08
 World,Gibraltar,2018,Export,2915,62.45,9890690.22,0.05
 World,Guinea,2018,Export,3131,67.07,4395262.96,0.02
 World,"Gambia, The",2018,Export,2460,52.7,1293935.09,0.01
 World,Guinea-Bissau,2018,Export,2051,43.94,350908.69,0
 World,Equatorial Guinea,2018,Export,2587,55.42,1018999.06,0.01
